momentum_lookback_days,top_n,require_stock_trend,total_return,annual_return,volatility,sharpe,max_drawdown,benchmark_total_return,benchmark_annual_return,benchmark_volatility,beta,daily_var_95,return_minus_spy,annual_return_minus_spy
126,5,True,342.0782784660644,0.43099809140720224,0.31750753236702783,1.3574420997010654,-0.4206837850340748,7.3579067099006,0.13921157697881514,0.17159001631663767,0.8001527412980415,-0.030908533087349508,334.7203717561638,0.2917865144283871
126,5,False,264.38771000988334,0.4086194849876681,0.3174882147981793,1.2870382771449298,-0.42068378503407566,7.3579067099006,0.13921157697881514,0.17159001631663767,0.8022153582464476,-0.03107979699226331,257.02980329998275,0.26940790800885295
231,5,True,229.91006741373002,0.39663722973776316,0.31446686750256686,1.2613005398240422,-0.4168625921257857,7.3579067099006,0.13921157697881514,0.17159001631663767,0.8084741748631759,-0.03016461191411054,222.55216070382943,0.257425652758948
126,3,False,442.5767191440978,0.45374519207272423,0.36629458311717905,1.238743931759344,-0.45734211268398106,7.3579067099006,0.13921157697881514,0.17159001631663767,0.8240436535568747,-0.0352043979506813,435.2188124341972,0.3145336150939091
126,3,True,423.33913141704915,0.449793848513935,0.36602209670929525,1.228870750038825,-0.45734211268398217,7.3579067099006,0.13921157697881514,0.17159001631663767,0.8233748037101688,-0.035062959817478215,415.98122470714856,0.31058227153511986
231,5,False,179.85323375809278,0.3758449144956548,0.3139994899797148,1.1969602706040556,-0.4296500191207603,7.3579067099006,0.13921157697881514,0.17159001631663767,0.8129625992669842,-0.03023384649446772,172.4953270481922,0.23663333751683968
231,3,True,259.2085355311708,0.4069163204516857,0.36770344565437246,1.1066426634309319,-0.4767349302334455,7.3579067099006,0.13921157697881514,0.17159001631663767,0.8314932662968487,-0.03571017117228777,251.85062882127022,0.26770474347287054
231,3,False,231.66929677290238,0.39728809111096197,0.36631820163308226,1.084543681803997,-0.43789536506453997,7.3579067099006,0.13921157697881514,0.17159001631663767,0.8259649705381438,-0.03604442963252948,224.3113900630018,0.25807651413214683
231,1,True,630.5102969227792,0.4856130531103915,0.5416678813070199,0.8965143953867623,-0.606535986245144,7.3579067099006,0.13921157697881514,0.17159001631663767,0.8253119666107729,-0.04751692553119508,623.1523902128786,0.34640147613157635
231,1,False,365.7479695018076,0.4368707332684485,0.5439817267684339,0.8030981773298036,-0.6164960914414743,7.3579067099006,0.13921157697881514,0.17159001631663767,0.8404653066806742,-0.04807679493739674,358.390062791907,0.29765915628963335
126,1,True,9.256641121143922,0.1536182648514237,0.5666122244392243,0.2711171030654335,-0.8465189982005685,7.3579067099006,0.13921157697881514,0.17159001631663767,0.8952112054510533,-0.04952925870008887,1.8987344112433213,0.01440668787260857
126,1,False,7.929684529200536,0.14384862164930956,0.5669686873780052,0.2537152841977036,-0.8589237319551908,7.3579067099006,0.13921157697881514,0.17159001631663767,0.8953425579854287,-0.049595100498975815,0.5717778192999354,0.004637044670494417
